bibid|container_id|href|title|text
4079332||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
5693841||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4492602||https://library.columbia.edu/locations/burke.html|https://library.columbia.edu/locations/burke.html|
4492616||https://library.columbia.edu/locations/burke.html|https://library.columbia.edu/locations/burke.html|
4079326||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078038||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078986||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079440||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077445||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078776||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079468||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078010||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
7031632||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
13058033||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078004||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
10535236||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
4077451||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078762||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
10169543||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079695||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
9364858||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
9364858||http://www.columbia.edu/cu/lweb/archival/collections/ldpd_11138357/||Malcolm X Project Records,
4077860||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
8642799||https://library.columbia.edu/locations/burke.html|https://library.columbia.edu/locations/burke.html|
4079681||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077874||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
11138357||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
11138357|aspace_2a4bbfc85fff842c69d36f0d470b53dd|https://dx.doi.org/10.7916/d8-jmt8-mm11|Herman Ferguson--Edited Version with Timecode, 2003 June 27|
4079871||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077684||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
10392013||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
6958674||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
8394100||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
4077690||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4077848||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
5957771||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
5957771||http://findingaids.cul.columbia.edu/ead//nnc-ua/ldpd_12135424||John D. Cannon papers 1900-1984 [Bulk Dates: 1966-1969] [UA# 0222]
5957771||http://findingaids.cul.columbia.edu/ead/nnc-ua/ldpd_4080177/summary||Central Files, 1890-1984 [Bulk Dates: 1890-1983] [UA#0001]
5957771||http://findingaids.cul.columbia.edu/ead/nnc-ua/ldpd_5694076/summary||Historical Subject Files, 1870s-2017 [Bulk Dates: 1968-1972] [UA#0002]
5957771||http://findingaids.cul.columbia.edu/ead/nnc-ua/ldpd_4080180/summary||University Protest and Activism Collection, 1958-1999 [Bulk Dates: 1968-1972] [UA#0007]
10553372||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
10553372||http://findingaids.cul.columbia.edu/ead/nnc-rb/ldpd_11359744/summary||Andre Schiffrin Papers,
3460631||https://library.columbia.edu/locations/avery.html|https://library.columbia.edu/locations/avery.html|
4079130||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12952505||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079656||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4078548||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
12916421||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
10993246||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079642||http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|http://www.columbia.edu/cu/lweb/indiv/rbml/index.html|
4079642|aspace_7a23159aa0f07296951e0e50669b9cc7|http://ulib.iupui.edu/collections/WMIC||http://ulib.iupui.edu/collections/WMIC
4079642|aspace_5a6ea6aceb26068e2b0100c57f3c0be7|https://dx.doi.org/10.7916/d8-62mh-c958|China On The March, 3/20/1941|
4079642|aspace_0d41186b0d8828ba36c6f47227321f76|https://dx.doi.org/10.7916/d8-8c24-m089|United China Relief with William Bullit speaking from Constitutional Hall, part 2, 4/27/1941|
4079642|aspace_8464b2825d9720fdf8f5c9bcf8c5a949|https://dx.doi.org/10.7916/d8-3zkb-3j12|United China Relief Program with talks by Pearl S. Buck and Wendell L. Willkie, part 1, 5/16/1941|
4079642|aspace_58df3aa7ee5e824fd59ced5795722a36|https://dx.doi.org/10.7916/d8-3zkb-3j12|United China Relief Program with talks by Pearl S. Buck and Wendell L. Willkie, part 2 ,, 5/16/1941|
4079642|aspace_bab9f4c656dbbeb0641e9cb2a6c4ae1d|https://dx.doi.org/10.7916/d8-z9dy-rv78|United China Relief Program; Dorothy Gordon’s Party as broadcast over WJZ 8:00-8:30 PM, part 1 &amp; 2 ,, 6/3/1941|
4079642|aspace_e90836921249028e6680ec886a0e1a7d|https://dx.doi.org/10.7916/d8-912a-e964|United China Relief Program, part 1 ,, 6/6/1941|
